PLAYER_NAME,DATE,GAME,TEAM,OPPONENT,MIN,PTS,REB,AST,STL,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TS%,OREB,DREB,TOV,PF,+/-
MYLES TURNER,3/20/2025,1,IND,BKN,40,23,10,1,1,5,8,11,72.7,2,5,40.0,5,5,100.0,87.1,2,8,3,2,+13
MYLES TURNER,3/22/2025,2,IND,BKN,32,22,8,0,1,3,8,14,57.1,5,10,50.0,1,2,50.0,73.9,1,7,1,4,+2
MYLES TURNER,3/24/2025,3,IND,MIN,29,7,9,1,2,4,3,10,30.0,1,5,20.0,0,0,,35.0,0,9,2,1,+9
MYLES TURNER,3/26/2025,4,IND,LAL,35,16,12,1,1,1,6,9,66.7,4,5,80.0,0,0,,88.9,0,12,1,4,+10
MYLES TURNER,3/27/2025,5,IND,WAS,21,17,5,2,0,0,5,7,71.4,4,6,66.7,3,4,75.0,97.0,0,5,1,2,+21
MYLES TURNER,3/29/2025,6,IND,OKC,20,11,5,1,0,0,2,6,33.3,0,1,0.0,7,10,70.0,52.9,2,3,3,0,-1
MYLES TURNER,4/2/2025,7,IND,CHA,29,15,9,2,0,2,6,10,60.0,3,7,42.9,0,0,,75.0,3,6,2,4,+3
MYLES TURNER,4/4/2025,8,IND,UTA,27,26,7,1,0,6,9,17,52.9,3,7,42.9,5,8,62.5,63.4,2,5,1,3,+3
MYLES TURNER,4/6/2025,9,IND,DEN,31,24,2,1,0,3,8,16,50.0,4,10,40.0,4,4,100.0,67.6,0,2,0,1,+3
MYLES TURNER,4/8/2025,10,IND,WAS,35,14,11,1,0,5,4,13,30.8,1,7,14.3,5,8,62.5,42.4,4,7,2,0,-5
AARON NESMITH,3/22/2025,1,IND,BKN,22,6,3,1,0,1,2,6,33.3,2,4,50.0,0,0,,50.0,1,2,2,1,+4
AARON NESMITH,3/24/2025,2,IND,MIN,24,17,7,1,0,0,7,9,77.8,3,3,100.0,0,0,,94.4,2,5,0,1,+16
AARON NESMITH,3/26/2025,3,IND,LAL,21,13,1,2,3,0,5,9,55.6,3,6,50.0,0,0,,72.2,0,1,1,3,-7
AARON NESMITH,3/27/2025,4,IND,WAS,19,11,4,0,0,0,4,7,57.1,3,5,60.0,0,0,,78.6,1,3,2,2,+12
AARON NESMITH,3/29/2025,5,IND,OKC,22,7,4,0,1,1,3,8,37.5,1,3,33.3,0,0,,43.8,2,2,0,4,-7
AARON NESMITH,3/31/2025,6,IND,SAC,35,24,6,0,1,2,7,16,43.8,1,8,12.5,9,9,100.0,60.1,0,6,1,3,+13
AARON NESMITH,4/2/2025,7,IND,CHA,26,16,3,1,1,0,6,12,50.0,3,9,33.3,1,1,100.0,64.3,2,1,0,1,-7
AARON NESMITH,4/4/2025,8,IND,UTA,20,12,3,0,0,0,5,7,71.4,2,2,100.0,0,1,0.0,80.6,1,2,1,2,+14
AARON NESMITH,4/6/2025,9,IND,DEN,30,17,6,0,3,1,5,10,50.0,3,5,60.0,4,4,100.0,72.3,2,4,0,1,+7
AARON NESMITH,4/8/2025,10,IND,WAS,29,7,6,1,1,0,2,6,33.3,1,3,33.3,2,2,100.0,50.9,0,6,1,3,-1
ISAAC OKORO,3/21/2025,1,CLE,PHX,14,10,1,1,0,0,3,6,50.0,2,5,40.0,2,2,100.0,72.7,1,0,0,1,+5
ISAAC OKORO,3/23/2025,2,CLE,UTA,20,6,0,0,1,0,1,4,25.0,0,2,0.0,4,4,100.0,52.1,0,0,0,2,+8
ISAAC OKORO,3/25/2025,3,CLE,POR,17,2,4,3,1,0,1,3,33.3,0,2,0.0,0,0,,33.3,2,2,0,1,+7
ISAAC OKORO,3/27/2025,4,CLE,SAS,19,9,4,1,0,0,4,7,57.1,1,2,50.0,0,0,,64.3,0,4,0,1,+10
ISAAC OKORO,3/28/2025,5,CLE,DET,25,7,3,0,0,0,1,2,50.0,0,1,0.0,5,8,62.5,63.4,1,2,0,4,-9
ISAAC OKORO,3/30/2025,6,CLE,LAC,11,11,0,0,0,0,4,5,80.0,3,4,75.0,0,0,,110.0,0,0,0,1,-10
ISAAC OKORO,4/2/2025,7,CLE,NYK,23,11,6,2,2,0,5,10,50.0,1,6,16.7,0,0,,55.0,2,4,1,0,+13
ISAAC OKORO,4/4/2025,8,CLE,SAS,20,6,4,0,0,0,3,6,50.0,0,2,0.0,0,0,,50.0,1,3,0,1,+6
ISAAC OKORO,4/6/2025,9,CLE,SAC,18,7,2,1,2,0,3,3,100.0,1,1,100.0,0,0,,116.7,2,0,1,1,+20
ISAAC OKORO,4/8/2025,10,CLE,CHI,20,2,5,0,0,0,1,5,20.0,0,2,0.0,0,0,,20.0,1,4,0,1,+2
JALEN BRUNSON,2/20/2025,1,NYK,CHI,38,22,3,12,1,1,8,21,38.1,2,9,22.2,4,4,100.0,48.3,0,3,2,1,+3
JALEN BRUNSON,2/21/2025,2,NYK,CLE,28,26,4,4,1,0,10,17,58.8,2,4,50.0,4,4,100.0,69.3,0,4,3,3,-17
JALEN BRUNSON,2/23/2025,3,NYK,BOS,38,22,3,4,1,0,9,19,47.4,4,9,44.4,0,0,,57.9,0,3,4,0,-9
JALEN BRUNSON,2/26/2025,4,NYK,PHI,36,34,3,7,1,0,8,17,47.1,3,5,60.0,15,16,93.8,70.7,0,3,2,1,+3
JALEN BRUNSON,2/28/2025,5,NYK,MEM,36,23,7,6,3,1,10,23,43.5,2,6,33.3,1,1,100.0,49.1,1,6,3,1,-2
